DateKey,Date,Day,DayName,Month,MonthName,Quarter,Year,WeekOfYear,DayOfWeek,IsWeekend,IsPublicHoliday,HolidayName,Season
20230815,2023-08-15,15,Tuesday,8,August,Q3,2023,33,2,0,0,,Southwest Monsoon
20230816,2023-08-16,16,Wednesday,8,August,Q3,2023,33,3,0,0,,Southwest Monsoon
20230817,2023-08-17,17,Thursday,8,August,Q3,2023,33,4,0,0,,Southwest Monsoon
20230818,2023-08-18,18,Friday,8,August,Q3,2023,33,5,0,0,,Southwest Monsoon
20230819,2023-08-19,19,Saturday,8,August,Q3,2023,33,6,1,0,,Southwest Monsoon
20230820,2023-08-20,20,Sunday,8,August,Q3,2023,33,7,1,0,,Southwest Monsoon
20230821,2023-08-21,21,Monday,8,August,Q3,2023,34,1,0,0,,Southwest Monsoon
20230822,2023-08-22,22,Tuesday,8,August,Q3,2023,34,2,0,0,,Southwest Monsoon
20230823,2023-08-23,23,Wednesday,8,August,Q3,2023,34,3,0,0,,Southwest Monsoon
20230824,2023-08-24,24,Thursday,8,August,Q3,2023,34,4,0,0,,Southwest Monsoon
20230825,2023-08-25,25,Friday,8,August,Q3,2023,34,5,0,0,,Southwest Monsoon
20230826,2023-08-26,26,Saturday,8,August,Q3,2023,34,6,1,0,,Southwest Monsoon
20230827,2023-08-27,27,Sunday,8,August,Q3,2023,34,7,1,0,,Southwest Monsoon
20230828,2023-08-28,28,Monday,8,August,Q3,2023,35,1,0,0,,Southwest Monsoon
20230829,2023-08-29,29,Tuesday,8,August,Q3,2023,35,2,0,0,,Southwest Monsoon
20230830,2023-08-30,30,Wednesday,8,August,Q3,2023,35,3,0,0,,Southwest Monsoon
20230831,2023-08-31,31,Thursday,8,August,Q3,2023,35,4,0,1,National Day,Southwest Monsoon
20230901,2023-09-01,1,Friday,9,September,Q3,2023,35,5,0,0,,Inter-monsoon
20230902,2023-09-02,2,Saturday,9,September,Q3,2023,35,6,1,0,,Inter-monsoon
20230903,2023-09-03,3,Sunday,9,September,Q3,2023,35,7,1,0,,Inter-monsoon
20230904,2023-09-04,4,Monday,9,September,Q3,2023,36,1,0,0,,Inter-monsoon
20230905,2023-09-05,5,Tuesday,9,September,Q3,2023,36,2,0,0,,Inter-monsoon
20230906,2023-09-06,6,Wednesday,9,September,Q3,2023,36,3,0,0,,Inter-monsoon
20230907,2023-09-07,7,Thursday,9,September,Q3,2023,36,4,0,0,,Inter-monsoon
20230908,2023-09-08,8,Friday,9,September,Q3,2023,36,5,0,0,,Inter-monsoon
20230909,2023-09-09,9,Saturday,9,September,Q3,2023,36,6,1,0,,Inter-monsoon
20230910,2023-09-10,10,Sunday,9,September,Q3,2023,36,7,1,0,,Inter-monsoon
20230911,2023-09-11,11,Monday,9,September,Q3,2023,37,1,0,0,,Inter-monsoon
20230912,2023-09-12,12,Tuesday,9,September,Q3,2023,37,2,0,0,,Inter-monsoon
20230913,2023-09-13,13,Wednesday,9,September,Q3,2023,37,3,0,0,,Inter-monsoon
20230914,2023-09-14,14,Thursday,9,September,Q3,2023,37,4,0,0,,Inter-monsoon
20230915,2023-09-15,15,Friday,9,September,Q3,2023,37,5,0,0,,Inter-monsoon
20230916,2023-09-16,16,Saturday,9,September,Q3,2023,37,6,1,1,Malaysia Day,Inter-monsoon
20230917,2023-09-17,17,Sunday,9,September,Q3,2023,37,7,1,0,,Inter-monsoon
20230918,2023-09-18,18,Monday,9,September,Q3,2023,38,1,0,0,,Inter-monsoon
20230919,2023-09-19,19,Tuesday,9,September,Q3,2023,38,2,0,0,,Inter-monsoon
20230920,2023-09-20,20,Wednesday,9,September,Q3,2023,38,3,0,0,,Inter-monsoon
20230921,2023-09-21,21,Thursday,9,September,Q3,2023,38,4,0,0,,Inter-monsoon
20230922,2023-09-22,22,Friday,9,September,Q3,2023,38,5,0,0,,Inter-monsoon
20230923,2023-09-23,23,Saturday,9,September,Q3,2023,38,6,1,0,,Inter-monsoon
20230924,2023-09-24,24,Sunday,9,September,Q3,2023,38,7,1,0,,Inter-monsoon
20230925,2023-09-25,25,Monday,9,September,Q3,2023,39,1,0,0,,Inter-monsoon
20230926,2023-09-26,26,Tuesday,9,September,Q3,2023,39,2,0,0,,Inter-monsoon
20230927,2023-09-27,27,Wednesday,9,September,Q3,2023,39,3,0,0,,Inter-monsoon
20230928,2023-09-28,28,Thursday,9,September,Q3,2023,39,4,0,1,Prophet Muhammad's Birthday,Inter-monsoon
20230929,2023-09-29,29,Friday,9,September,Q3,2023,39,5,0,0,,Inter-monsoon
20230930,2023-09-30,30,Saturday,9,September,Q3,2023,39,6,1,0,,Inter-monsoon
20231001,2023-10-01,1,Sunday,10,October,Q4,2023,39,7,1,0,,Inter-monsoon
20231002,2023-10-02,2,Monday,10,October,Q4,2023,40,1,0,0,,Inter-monsoon
20231003,2023-10-03,3,Tuesday,10,October,Q4,2023,40,2,0,0,,Inter-monsoon
20231004,2023-10-04,4,Wednesday,10,October,Q4,2023,40,3,0,0,,Inter-monsoon
20231005,2023-10-05,5,Thursday,10,October,Q4,2023,40,4,0,0,,Inter-monsoon
20231006,2023-10-06,6,Friday,10,October,Q4,2023,40,5,0,0,,Inter-monsoon
20231007,2023-10-07,7,Saturday,10,October,Q4,2023,40,6,1,0,,Inter-monsoon
20231008,2023-10-08,8,Sunday,10,October,Q4,2023,40,7,1,0,,Inter-monsoon
20231009,2023-10-09,9,Monday,10,October,Q4,2023,41,1,0,0,,Inter-monsoon
20231010,2023-10-10,10,Tuesday,10,October,Q4,2023,41,2,0,0,,Inter-monsoon
20231011,2023-10-11,11,Wednesday,10,October,Q4,2023,41,3,0,0,,Inter-monsoon
20231012,2023-10-12,12,Thursday,10,October,Q4,2023,41,4,0,0,,Inter-monsoon
20231013,2023-10-13,13,Friday,10,October,Q4,2023,41,5,0,0,,Inter-monsoon
